# Column 1 = Input data size
# Column 2 = Array avg time shuffle sorted, selection sort
# Column 3 = Array avg time reverse sorted, selection sort
# Column 4 = Linked avg time shuffle sorted, selection sort
# Column 5 = Linked avg time reverse sorted, selection sort
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
500 0.08 0.08 0.51 0.72
1000 0.34 0.35 2.16 2.78
1500 0.62 0.64 5.52 14.51
2000 1.51 1.12 21.51 58.79
2500 1.69 1.71 38.04 96.55
3000 2.33 10.80 52.67 115.08
3500 3.37 3.42 83.98 163.03
4000 13.32 5.00 85.26 232.30
4500 16.82 5.64 114.29 316.15
5000 6.59 7.21 170.76 364.66
5500 17.32 8.04 157.88 466.04
6000 21.12 20.26 190.22 532.02
6500 20.14 22.96 243.19 645.52
7000 30.95 22.58 282.34 820.27
7500 15.73 35.36 313.35 957.72
8000 34.93 26.52 367.20 1047.05
8500 28.91 39.99 422.78 1199.43
9000 37.78 30.99 452.25 1406.10
9500 54.66 32.58 510.52 1533.18
10000 45.07 58.18 579.96 1733.61
