# Column 1 = Input data size
# Column 2 = Array avg time reverse sorted, quick sort
# Column 3 = Array avg time shuffle sorted, quick sort
# Column 4 = Linked avg time reverse sorted, quick sort
# Column 5 = Linked avg time shuffle sorted, quick sort
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
500 0.10 0.03 0.22 0.07
1000 0.53 0.12 1.27 0.26
1500 1.43 0.17 2.70 0.62
2000 9.37 0.14 4.03 1.19
2500 2.00 0.20 26.96 2.28
3000 2.94 0.28 21.00 3.49
3500 14.39 0.43 24.84 5.65
4000 6.14 0.46 40.22 17.40
4500 15.32 0.58 72.86 19.51
5000 20.18 0.70 64.24 13.89
5500 20.45 0.84 59.83 38.63
6000 22.59 0.99 87.98 42.64
6500 34.19 1.19 104.59 55.89
7000 40.15 2.74 130.38 52.07
7500 37.30 1.55 141.18 68.57
8000 39.64 11.18 178.02 88.55
8500 55.04 2.14 203.85 95.09
9000 46.17 2.15 213.08 134.15
9500 60.96 2.41 278.87 137.86
10000 60.99 2.69 297.61 178.46
