# Column 1 = Input data size
# Column 2 = Avg time for ArrayList find-value function
# Column 3 = Avg time for LinkedList find-value function
# All times are measured in microseconds
0 0.00 0.00
1024 0.08 1.86
2048 0.17 7.46
3072 0.24 34.43
4096 0.31 63.06
5120 0.39 94.54
6144 0.48 141.86
7168 0.55 196.94
8192 0.64 253.70
9216 0.75 313.10
10240 1.00 417.25
11264 1.02 457.42
12288 0.99 587.71
13312 1.07 621.42
14336 1.15 759.88
15360 1.50 888.34
16384 21.07 1004.63
17408 1.40 1172.46
18432 1.49 1350.06
19456 1.79 1516.04
20480 1.65 1619.50
21504 2.03 1756.00
22528 2.07 2006.96
23552 1.86 2075.53
24576 19.59 2254.36
