# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection remove function
# Column 3 = Avg time for BinSearchCollection remove function
# Column 4 = Avg time for HashTableCollection remove function
# Column 5 = Avg time for BSTCollection remove function
# Column 6 = Avg time for AVLCollection remove function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.15 0.02 0.00 0.01 0.00
2048 0.35 0.06 0.00 0.01 0.00
3072 0.42 0.06 0.00 0.02 0.00
4096 0.57 0.08 0.00 0.03 0.00
5120 0.67 0.07 0.00 0.02 0.00
6144 0.80 0.10 0.00 0.04 0.00
7168 0.93 0.08 0.00 0.03 0.00
8192 1.03 0.10 0.00 0.04 0.00
9216 1.20 0.11 0.00 0.06 0.00
10240 1.30 0.12 0.00 0.07 0.00
11264 1.43 0.14 0.00 0.05 0.00
12288 1.78 0.15 0.00 0.05 0.00
13312 1.73 0.16 0.00 0.06 0.00
14336 2.16 0.17 0.00 0.06 0.00
15360 2.24 0.20 0.00 0.06 0.00
16384 2.48 0.22 0.00 0.08 0.00
17408 2.47 0.25 0.00 0.07 0.00
18432 2.79 0.22 0.00 0.08 0.00
19456 2.66 0.23 0.00 0.08 0.00
20480 2.96 0.30 0.00 0.10 0.00
21504 3.07 0.26 0.00 0.09 0.00
22528 3.25 0.28 0.00 0.09 0.00
23552 4.15 0.30 0.00 0.12 0.00
24576 3.49 0.32 0.00 0.13 0.00
25600 3.89 0.34 0.00 0.10 0.00
26624 3.72 0.33 0.00 0.13 0.00
27648 4.86 0.42 0.00 0.16 0.00
28672 4.21 0.38 0.00 0.14 0.00
29696 4.20 0.38 0.00 0.14 0.00
30720 5.22 0.41 0.00 0.14 0.00
31744 4.70 0.42 0.00 0.14 0.00
32768 4.54 0.48 0.00 0.17 0.00
33792 4.98 0.43 0.00 0.17 0.00
34816 5.01 0.48 0.00 0.16 0.00
