# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-value function
# Column 3 = Avg time for BinSearchCollection find-value function
# Column 4 = Avg time for HashTableCollection find-value function
# Column 5 = Avg time for BSTCollection find-value function
# Column 6 = Avg time for AVLCollection find-value function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.08 0.00 0.00 0.01 0.00
2048 0.23 0.00 0.00 0.03 0.00
3072 0.24 0.00 0.00 0.02 0.00
4096 0.30 0.00 0.00 0.02 0.00
5120 0.38 0.00 0.00 0.03 0.00
6144 0.43 0.00 0.00 0.04 0.00
7168 0.56 0.00 0.00 0.04 0.00
8192 0.57 0.00 0.00 0.07 0.00
9216 0.78 0.00 0.00 0.05 0.00
10240 0.75 0.00 0.00 0.09 0.00
11264 0.81 0.00 0.00 0.06 0.00
12288 1.04 0.00 0.00 0.09 0.01
13312 1.08 0.00 0.00 0.07 0.00
14336 1.23 0.00 0.00 0.08 0.00
15360 1.30 0.00 0.00 0.13 0.00
16384 1.26 0.00 0.00 0.12 0.00
17408 1.43 0.00 0.00 0.10 0.00
18432 1.54 0.00 0.00 0.12 0.00
19456 1.64 0.00 0.00 0.11 0.00
20480 1.54 0.00 0.00 0.12 0.00
21504 1.65 0.00 0.00 0.14 0.00
22528 1.83 0.00 0.00 0.13 0.00
23552 1.85 0.00 0.00 0.17 0.00
24576 2.00 0.00 0.00 0.14 0.00
25600 1.89 0.00 0.00 0.14 0.00
26624 2.23 0.00 0.00 0.17 0.00
27648 2.23 0.00 0.00 0.22 0.00
28672 3.13 0.01 0.00 0.16 0.00
29696 2.38 0.00 0.00 0.19 0.00
30720 2.47 0.00 0.00 0.20 0.00
31744 2.58 0.00 0.00 0.21 0.00
32768 2.66 0.00 0.00 0.21 0.00
33792 2.94 0.00 0.00 0.22 0.00
34816 2.80 0.01 0.00 0.24 0.00
