# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection find-range function
# Column 3 = Avg time for BinSearchCollection find-range function
# Column 4 = Avg time for HashTableCollection find-range function
# Column 5 = Avg time for BSTCollection find-range function
# Column 6 = Avg time for AVLCollection find-range function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 0.53 0.50 0.42 0.37 0.43
2048 1.08 0.81 0.81 0.73 0.81
3072 1.54 1.02 1.08 1.09 1.22
4096 2.60 1.37 1.47 1.41 1.66
5120 2.40 1.84 1.74 1.78 2.03
6144 3.74 2.05 1.99 2.15 2.49
7168 3.42 2.72 2.42 3.19 3.12
8192 3.80 2.99 2.79 3.00 3.39
9216 4.39 3.14 3.14 3.19 3.81
10240 4.76 3.52 3.39 3.55 4.01
11264 6.20 3.90 3.73 4.10 4.54
12288 6.89 4.27 4.03 4.56 4.94
13312 7.40 7.61 6.27 7.06 7.39
14336 9.12 6.19 5.82 5.45 6.18
15360 8.65 5.61 4.94 5.78 6.54
16384 9.12 6.03 5.49 6.31 6.88
17408 9.69 6.87 6.31 6.94 7.83
18432 10.00 7.27 6.77 7.15 8.09
19456 10.26 7.25 6.91 7.52 8.71
20480 11.03 7.51 7.22 7.90 9.11
21504 11.56 8.37 7.68 8.54 9.59
22528 11.83 8.48 8.25 9.05 10.07
23552 12.42 9.04 8.24 9.14 10.34
24576 13.40 9.27 8.62 9.79 12.31
25600 13.67 9.88 8.97 10.42 11.32
26624 14.54 10.57 9.33 10.95 11.85
27648 15.09 10.81 9.73 11.49 13.49
28672 15.32 11.34 10.10 11.72 12.93
29696 16.39 12.07 10.74 12.25 13.63
30720 16.55 12.31 11.32 12.47 15.98
31744 19.19 14.97 12.85 14.76 17.16
32768 20.47 15.52 13.62 14.73 17.15
33792 22.12 16.24 14.01 16.35 17.93
34816 21.32 17.30 14.12 17.09 18.76
