# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection sort function
# Column 3 = Avg time for BinSearchCollection sort function
# Column 4 = Avg time for HashTableCollection sort function
# Column 5 = Avg time for BSTCollection sort function
# Column 6 = Avg time for AVLCollection sort function
# All times are measured in microseconds
0 0.00 0.00 0.00 0.00 0.00
1024 2.48 0.24 1.05 0.15 0.17
2048 6.83 0.45 2.13 0.27 0.32
3072 13.56 0.76 2.72 0.51 0.55
4096 23.68 0.82 4.82 0.60 0.58
5120 34.89 0.98 4.88 0.60 0.70
6144 49.11 1.49 7.40 1.07 1.04
7168 58.91 1.68 8.54 1.13 1.09
8192 76.66 1.70 9.03 1.20 1.19
9216 94.23 1.87 8.00 1.36 1.36
10240 116.80 1.91 10.21 1.30 1.26
11264 141.08 2.70 11.27 1.98 1.95
12288 161.88 3.02 12.98 2.16 2.20
13312 192.41 3.22 14.96 2.27 2.26
14336 216.95 3.17 18.05 2.24 2.22
15360 256.07 3.24 18.53 2.41 2.28
16384 287.09 3.41 28.52 2.46 2.48
17408 323.77 3.62 16.15 2.58 2.43
18432 358.31 3.67 19.15 2.56 2.46
19456 397.98 3.88 21.40 2.62 2.47
20480 430.68 3.99 21.86 2.63 2.66
21504 497.59 5.69 23.18 4.23 4.15
22528 524.54 6.28 25.75 4.53 4.35
23552 611.38 6.16 27.62 4.69 4.39
24576 647.16 6.21 31.66 4.83 4.63
25600 696.88 6.38 30.37 4.68 4.54
26624 738.11 6.34 32.87 4.92 4.65
27648 822.44 6.63 35.91 5.27 4.58
28672 867.40 6.65 38.85 6.77 4.63
29696 919.06 6.91 38.25 5.19 4.82
30720 985.18 7.01 41.50 5.40 4.90
31744 1065.82 7.15 44.57 5.52 4.89
32768 1185.27 7.16 46.55 5.17 5.14
33792 1212.03 7.15 34.74 5.55 5.43
34816 1297.24 7.49 35.70 5.61 5.21
